FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363379.151884 RUNNING 2416896 2416263
1787363379.255026 RUNNING 2421760 2421207
1787363379.358554 RUNNING 2426880 2426200
1787363379.462060 RUNNING 2431744 2431145
1787363379.565373 RUNNING 2436608 2436090
1787363379.669081 RUNNING 2441728 2441082
1787363379.772431 RUNNING 2446592 2446027
1787363379.875782 RUNNING 2451712 2451020
1787363379.978946 RUNNING 2456576 2455964
1787363380.082537 RUNNING  
1787363380.186731 RUNNING 2466560 2465950
1787363380.292148 RUNNING 2471680 2470990
1787363380.397192 RUNNING 2476544 2476031
1787363380.500560 RUNNING 2481664 2480976
1787363380.603696 RUNNING 2486528 2485968
1787363380.706999 RUNNING 2491648 2490913
1787363380.810343 RUNNING 2496512 2495858
1787363380.913529 RUNNING 2501376 2500802
1787363381.017003 RUNNING 2506496 2505795
1787363381.120536 RUNNING 2511360 2510740
1787363381.223984 RUNNING 2516480 2515732
1787363381.327434 RUNNING 2521344 2520677
1787363381.431808 RUNNING 2526464 
1787363381.535162 RUNNING 2531328 2530662
1787363381.638397 RUNNING 2536192 2535607
1787363381.741941 RUNNING 2541312 2540600
1787363381.846321 RUNNING 2546176 2545592
1787363381.950505 RUNNING 2551296 2550585
1787363382.056499 RUNNING 2556416 2555674
1787363382.161659 RUNNING 2561280 2560714
1787363382.265227 RUNNING 2566400 2565707
1787363382.368776 RUNNING 2571264 2570652
1787363382.471909 RUNNING 2576384 
1787363382.575417 RUNNING 2581248 2580589
1787363382.678702 RUNNING 2586112 2585534
1787363382.782083 RUNNING 2591232 2590526
1787363382.885626 RUNNING 2596096 2595471
1787363382.988775 RUNNING 2600960 2600416
1787363383.092557 RUNNING 2606080 2605408
1787363383.195901 RUNNING 2610944 2610401
1787363383.300723 RUNNING 2616064 2615394
1787363383.407833 RUNNING 2621184 2620530
1787363383.514255 RUNNING 2626304 2625667
1787363383.618287 RUNNING 2631424 2630660
1787363383.722021 RUNNING 2636288 
1787363383.825302 RUNNING 2641152 2640597
1787363383.928961 RUNNING 2646272 2645542
1787363384.032621 RUNNING 2651136 2650535
1787363384.136787 RUNNING 2656256 2655527
