FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363162.121815 RUNNING 2964480 2962385
1787363162.225434 RUNNING 2969600 2967377
1787363162.328566 RUNNING 2974720 2972322
1787363162.431728 RUNNING 2979840 2977267
1787363162.534850 RUNNING 2984960 2982211
1787363162.638061 RUNNING 2990080 2987156
1787363162.741662 RUNNING 2995200 2992149
1787363162.845264 RUNNING 2999296 2997093
1787363162.948848 RUNNING 3004416 3002086
1787363163.053670 RUNNING 3009536 3007127
1787363163.160121 RUNNING 3014656 3012215
1787363163.263305 RUNNING 3019776 3017160
1787363163.366492 RUNNING 3024896 3022105
1787363163.469759 RUNNING 3030016 3027097
1787363163.573073 RUNNING 3034112 3032042
1787363163.676610 RUNNING 3039232 3037035
1787363163.779795 RUNNING 3044352 3041979
1787363163.882849 RUNNING 3049472 3046924
1787363163.986130 RUNNING 3054592 3051869
1787363164.089485 RUNNING 3059712 3056813
1787363164.192620 RUNNING 3063808 3061758
1787363164.296236 RUNNING 3068928 3066751
1787363164.399966 RUNNING 3074048 3071743
1787363164.504300 RUNNING 3079168 3076736
1787363164.608907 RUNNING 3084288 3081777
1787363164.712810 RUNNING 3089408 3086770
1787363164.815929 RUNNING 3094528 3091714
1787363164.919101 RUNNING 3099648 3096659
1787363165.022707 RUNNING 3103744 3101604
1787363165.126082 RUNNING 3108864 3106596
1787363165.229258 RUNNING 3113984 3111541
1787363165.332461 RUNNING 3119104 3116486
1787363165.435708 RUNNING 3124224 3121430
1787363165.539223 RUNNING 3129344 3126423
1787363165.643406 RUNNING 3134464 3131416
1787363165.752195 RUNNING 3139584 3136648
1787363165.855815 RUNNING 3143680 3141593
1787363165.960021 RUNNING 3148800 3146634
1787363166.063186 RUNNING 3153920 3151578
1787363166.166600 RUNNING 3159040 3156523
1787363166.271908 RUNNING 3164160 3161564
1787363166.375106 RUNNING 3169280 3166556
1787363166.478312 RUNNING 3174400 3171501
1787363166.581753 RUNNING 3178496 3176446
1787363166.685343 RUNNING 3183616 3181438
1787363166.788738 RUNNING 3188736 3186383
1787363166.892032 RUNNING 3193856 3191328
1787363166.995332 RUNNING 3198976 3196320
1787363167.098612 RUNNING 3204096 3201265
1787363167.201980 RUNNING 3209216 3206210
1787363167.305855 RUNNING 3213312 3211202
1787363167.410093 RUNNING 3218432 3216195
1787363167.516161 RUNNING 3223552 3221332
1787363167.619521 RUNNING 3228672 3226276
1787363167.722692 RUNNING 3233792 3231221
1787363167.825919 RUNNING 3238912 3236166
1787363167.929279 RUNNING 3244032 
1787363168.032837 RUNNING 3249152 3246103
1787363168.136357 RUNNING 3253248 3251096
1787363168.239436 RUNNING 3258368 3256040
1787363168.342842 RUNNING 3263488 3260985
1787363168.446163 RUNNING 3268608 3265930
1787363168.549912 RUNNING 3273728 3270922
1787363168.653630 RUNNING 3278848 3275915
1787363168.757472 RUNNING 3283968 3280908
1787363168.861912 RUNNING 3288064 3285900
1787363168.967426 RUNNING 3293184 3290989
1787363169.074134 RUNNING 3298304 3296078
1787363169.177775 RUNNING 3303424 3301071
1787363169.281224 RUNNING 3308544 3306015
1787363169.384704 RUNNING 3313664 3311008
1787363169.488077 RUNNING 3318784 3315953
1787363169.591478 RUNNING 3323904 
1787363169.695025 RUNNING 3328000 3325890
1787363169.798313 RUNNING 3333120 3330835
1787363169.901449 RUNNING 3338240 3335779
1787363170.004642 RUNNING 3343360 3340772
1787363170.107846 RUNNING 3348480 3345717
1787363170.212172 RUNNING 3353600 3350709
1787363170.318014 RUNNING 3358720 3355798
1787363170.421429 RUNNING 3362816 3360743
1787363170.525161 RUNNING 3367936 3365735
1787363170.630987 RUNNING 3373056 3370824
1787363170.736162 RUNNING 3378176 3375865
1787363170.840211 RUNNING 3383296 3380857
1787363170.943402 RUNNING 3388416 3385802
1787363171.046732 RUNNING  3390747
1787363171.150098 RUNNING 3398656 3395739
1787363171.253987 RUNNING 3403776 3400732
1787363171.357598 RUNNING 3407872 3405677
1787363171.460687 RUNNING 3412992 3410621
