FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363038.992204 RUNNING 2637824 2635364
1787363039.095450 RUNNING 2642944 2640309
1787363039.198659 RUNNING 2648064 2645302
1787363039.302160 RUNNING 2653184 2650246
1787363039.405617 RUNNING 2657280 2655191
1787363039.509555 RUNNING 2662400 2660184
1787363039.613410 RUNNING 2667520 2665176
1787363039.718349 RUNNING 2672640 2670217
1787363039.821777 RUNNING 2677760 2675210
1787363039.925069 RUNNING 2682880 2680154
1787363040.028317 RUNNING 2688000 2685099
1787363040.131765 RUNNING 2693120 
1787363040.235861 RUNNING 2697216 2695084
1787363040.339005 RUNNING 2702336 2700029
1787363040.442173 RUNNING 2707456 2704974
1787363040.545317 RUNNING 2712576 2709918
1787363040.648540 RUNNING 2717696 2714863
1787363040.753051 RUNNING 2722816 2719904
1787363040.856937 RUNNING 2727936 2724896
1787363040.961888 RUNNING 2732032 2729937
1787363041.068878 RUNNING 2737152 
1787363041.173208 RUNNING 2742272 2740066
1787363041.277227 RUNNING 2747392 2745059
1787363041.380441 RUNNING 2752512 2750004
1787363041.483565 RUNNING 2757632 2754948
1787363041.586751 RUNNING 2762752 2759893
1787363041.690111 RUNNING 2767872 2764886
1787363041.793854 RUNNING 2771968 2769830
1787363041.897331 RUNNING 2777088 2774823
1787363042.000494 RUNNING 2782208 2779768
1787363042.103627 RUNNING 2787328 2784712
1787363042.206762 RUNNING 2792448 2789657
1787363042.310088 RUNNING 2797568 2794602
1787363042.413965 RUNNING 2801664 2799594
1787363042.519828 RUNNING 2806784 2804683
1787363042.624147 RUNNING 2811904 2809676
1787363042.727393 RUNNING 2817024 2814668
1787363042.830541 RUNNING 2822144 2819613
1787363042.934605 RUNNING 2827264 2824606
1787363043.038034 RUNNING 2832384 2829550
1787363043.142434 RUNNING 2837504 2834591
1787363043.259986 RUNNING 2842624 2840208
1787363043.363244 RUNNING  2845153
1787363043.467655 RUNNING 2852864 2850193
1787363043.572765 RUNNING 2857984 2855234
1787363043.680171 RUNNING 2863104 2860371
1787363043.783940 RUNNING 2868224 2865363
1787363043.894623 RUNNING 2873344 2870692
1787363043.998177 RUNNING 2878464 2875637
1787363044.102229 RUNNING 2883584 2880629
1787363044.206980 RUNNING 2888704 2885670
1787363044.310537 RUNNING 2892800 
1787363044.414057 RUNNING 2897920 2895607
1787363044.523824 RUNNING 2903040 2900888
1787363044.628221 RUNNING 2908160 2905881
1787363044.732114 RUNNING 2913280 2910874
