FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363274.417688 RUNNING 2860032 2858595
1787363274.521767 RUNNING 2864640 2863588
1787363274.625207 RUNNING 2869760 2868580
1787363274.728757 RUNNING 2874880 2873525
1787363274.833275 RUNNING 2880000 2878566
1787363274.936792 RUNNING 2884608 2883510
1787363275.040038 RUNNING  2888455
1787363275.143082 RUNNING 2894848 
1787363275.246591 RUNNING 2899456 2898392
1787363275.350056 RUNNING 2904576 2903337
1787363275.453200 RUNNING 2909696 2908330
1787363275.557297 RUNNING 2914816 2913322
1787363275.662484 RUNNING 2919424 2918363
1787363275.766383 RUNNING 2924544 2923356
1787363275.869716 RUNNING 2929664 2928300
1787363275.972906 RUNNING 2934272 2933245
1787363276.076469 RUNNING 2939392 2938238
1787363276.179681 RUNNING 2944512 2943182
1787363276.283033 RUNNING 2949632 2948127
1787363276.386535 RUNNING 2954240 2953120
1787363276.489797 RUNNING 2959360 2958064
1787363276.592985 RUNNING 2964480 2963009
1787363276.696340 RUNNING 2969088 2968002
1787363276.799982 RUNNING 2974208 2972946
1787363276.903085 RUNNING 2979328 2977891
1787363277.006330 RUNNING 2983936 
1787363277.109952 RUNNING 2989056 2987828
1787363277.213489 RUNNING 2994176 2992821
1787363277.318372 RUNNING 2999296 
1787363277.425898 RUNNING 3004416 3002998
1787363277.529291 RUNNING 3009024 3007943
1787363277.632708 RUNNING 3014144 3012936
1787363277.735930 RUNNING 3019264 3017881
1787363277.839265 RUNNING 3023872 3022825
1787363277.943199 RUNNING 3028992 3027818
1787363278.046331 RUNNING 3034112 3032763
1787363278.149615 RUNNING 3039232 3037755
1787363278.252885 RUNNING 3043840 3042700
1787363278.356014 RUNNING 3048960 3047645
1787363278.459176 RUNNING 3054080 3052589
1787363278.562621 RUNNING 3058688 3057582
1787363278.665980 RUNNING 3063808 3062527
1787363278.772167 RUNNING 3068928 3067615
1787363278.875639 RUNNING 3074048 3072608
1787363278.981948 RUNNING 3079168 3077697
1787363279.085584 RUNNING 3083776 3082641
1787363279.188690 RUNNING 3088896 3087634
1787363279.291908 RUNNING 3094016 3092579
1787363279.395488 RUNNING 3098624 3097523
1787363279.498999 RUNNING 3103744 3102516
1787363279.602301 RUNNING 3108864 3107461
1787363279.705596 RUNNING 3113472 3112405
1787363279.809326 RUNNING 3118592 3117398
1787363279.912643 RUNNING 3123712 3122343
1787363280.015753 RUNNING  3127287
1787363280.119258 RUNNING 3133440 3132280
1787363280.222754 RUNNING 3138560 3137273
1787363280.327687 RUNNING 3143680 3142265
1787363280.432752 RUNNING  3147306
1787363280.537371 RUNNING 3153408 3152347
1787363280.640992 RUNNING 3158528 3157339
1787363280.744374 RUNNING 3163648 3162284
1787363280.847798 RUNNING 3168256 3167229
1787363280.951333 RUNNING 3173376 3172221
1787363281.054516 RUNNING 3178496 3177166
1787363281.157712 RUNNING 3183616 3182111
