
=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-22T11:05:36-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-22T19:05:36-04:00

=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-23T00:42:28-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-23T08:42:28-04:00
SENTINEL soak-loop-entered
./scripts/measure-soak-instrument.sh: line 174: MPE_METER_LAST_AGE_S: unbound variable
SENTINEL soak-aborted stage=soak-loop-minute rc=1

=== B2 RESTART after 8f138ec fix 2026-08-23T00:51:44-04:00 ===
pilot=PASS log=/home/mitch/instrument-soak-pilot-2026-08-23.log meter_age_s=0@minute1

=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-23T00:51:44-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-23T08:51:44-04:00
SENTINEL soak-loop-entered
SOAK minute=55 xruns_minute=4 xruns_total=183 meter_live=1 meter_age_s=1 temp=46.7'C throttled=0x0
SOAK minute=56 xruns_minute=4 xruns_total=187 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=57 xruns_minute=4 xruns_total=191 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=58 xruns_minute=0 xruns_total=191 meter_live=1 meter_age_s=1 temp=46.2'C throttled=0x0
SOAK minute=59 xruns_minute=11 xruns_total=202 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=60 xruns_minute=2 xruns_total=204 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK hour=1 minute=60 xruns_hour=204 xruns_total=204 meter_live=1 invalid_windows=0 temp=46.2'C throttled=0x0
SOAK minute=61 xruns_minute=1 xruns_total=205 meter_live=1 meter_age_s=1 temp=47.2'C throttled=0x0
SOAK minute=62 xruns_minute=2 xruns_total=207 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=63 xruns_minute=2 xruns_total=209 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=64 xruns_minute=2 xruns_total=211 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=65 xruns_minute=8 xruns_total=219 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=66 xruns_minute=3 xruns_total=222 meter_live=1 meter_age_s=0 temp=44.8'C throttled=0x0
SOAK minute=67 xruns_minute=6 xruns_total=228 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=68 xruns_minute=2 xruns_total=230 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=69 xruns_minute=8 xruns_total=238 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
